Date,Winning Number
Wed 07/06/22,08-17-21-22-32
Tue 07/05/22,04-11-12-22-32
Mon 07/04/22,13-24-26-36-37
Sun 07/03/22,03-06-07-11-24
Sat 07/02/22,04-19-33-36-39
Fri 07/01/22,07-08-11-22-24
Thu 06/30/22,05-20-23-32-39
Wed 06/29/22,10-16-24-25-34
Tue 06/28/22,05-07-09-12-37
Mon 06/27/22,07-09-12-15-23
Sun 06/26/22,11-19-27-28-39
Sat 06/25/22,01-12-22-37-38
Fri 06/24/22,05-09-27-36-39
Thu 06/23/22,04-08-09-30-32
Wed 06/22/22,07-15-18-20-36
Tue 06/21/22,06-18-19-20-29
Mon 06/20/22,09-14-15-17-35
Sun 06/19/22,04-10-26-31-39
Sat 06/18/22,10-19-20-30-34
Fri 06/17/22,04-07-08-30-34
Thu 06/16/22,11-14-17-23-30
Wed 06/15/22,02-11-22-26-34
Tue 06/14/22,04-15-24-33-35
Mon 06/13/22,06-22-28-31-39
Sun 06/12/22,06-12-14-20-27
Sat 06/11/22,03-05-29-34-36
Fri 06/10/22,01-03-11-17-23
Thu 06/09/22,10-13-15-26-27
Wed 06/08/22,01-04-10-17-27
Tue 06/07/22,07-12-14-28-39
Sat 05/07/22,13-15-25-26-35
Fri 05/06/22,03-09-14-25-26
Thu 05/05/22,02-11-18-21-27
Wed 05/04/22,07-16-26-33-35
Tue 05/03/22,01-12-27-29-38
Mon 05/02/22,11-13-29-34-38
Sun 05/01/22,08-14-29-36-37
Sat 04/30/22,03-06-09-36-39
Fri 04/29/22,02-09-16-21-30
Thu 04/28/22,20-24-25-37-38
Wed 04/27/22,01-04-18-23-25
Tue 04/26/22,03-18-21-24-35
Mon 04/25/22,09-15-22-27-29
Sun 04/24/22,05-06-07-32-34
Sat 04/23/22,13-16-20-29-32
Fri 04/22/22,01-02-21-22-31
Thu 04/21/22,05-10-13-16-18
Wed 04/20/22,02-25-34-36-37
Tue 04/19/22,09-12-32-36-39
Mon 04/18/22,15-16-22-23-27
Sun 04/17/22,22-26-29-34-38
Sat 04/16/22,15-17-25-32-39
Fri 04/15/22,02-08-12-19-39
Thu 04/14/22,18-24-28-31-39
Wed 04/13/22,04-12-17-18-22
Tue 04/12/22,03-13-20-27-35
Mon 04/11/22,10-22-25-28-30
Sun 04/10/22,08-10-16-30-33
Sat 04/09/22,06-10-12-14-34
Fri 04/08/22,16-17-22-26-28
Thu 04/07/22,03-09-14-37-39
Mon 06/06/22,08-20-21-33-37
Sun 06/05/22,05-10-12-26-34
Sat 06/04/22,04-08-10-26-27
Fri 06/03/22,08-10-11-14-28
Thu 06/02/22,05-07-17-19-37
Wed 06/01/22,05-08-11-19-39
Tue 05/31/22,22-29-33-36-38
Mon 05/30/22,03-05-11-14-29
Sun 05/29/22,04-07-10-26-30
Sat 05/28/22,21-33-35-37-38
Fri 05/27/22,06-16-18-20-38
Thu 05/26/22,11-13-19-20-27
Wed 05/25/22,15-25-27-30-36
Tue 05/24/22,05-08-11-18-23
Mon 05/23/22,14-27-33-37-38
Sun 05/22/22,02-13-27-28-32
Sat 05/21/22,04-08-25-35-39
Fri 05/20/22,13-17-25-34-37
Thu 05/19/22,02-24-35-37-38
Wed 05/18/22,02-18-20-25-32
Tue 05/17/22,05-22-24-32-35
Mon 05/16/22,03-04-07-29-34
Sun 05/15/22,02-08-09-15-33
Sat 05/14/22,06-08-10-19-34
Fri 05/13/22,02-10-13-21-27
Thu 05/12/22,07-08-13-18-21
Wed 05/11/22,13-15-19-21-23
Tue 05/10/22,01-09-22-23-35
Mon 05/09/22,05-08-24-25-35
Sun 05/08/22,02-03-09-25-39